unique_key,complaint_text,agency,agency_name,borough,created_date,status,open_data_channel_type
67599530,problem: heat/hot water. details: entire building. location type: residential building. borough: bronx,HPD,Department of Housing Preservation and Development,bronx,2026-01-24T04:05:50.000,Closed,ONLINE
67604727,problem: heat/hot water. details: entire building. location type: residential building. borough: brooklyn,HPD,Department of Housing Preservation and Development,brooklyn,2026-01-24T04:05:24.000,Closed,ONLINE
67593107,problem: heat/hot water. details: entire building. location type: residential building. borough: brooklyn,HPD,Department of Housing Preservation and Development,brooklyn,2026-01-24T04:05:17.000,Closed,ONLINE
67601521,problem: heat/hot water. details: entire building. location type: residential building. borough: brooklyn,HPD,Department of Housing Preservation and Development,brooklyn,2026-01-24T04:05:17.000,Closed,ONLINE
67597530,problem: noise - residential. details: loud talking. location type: residential building/house. borough: bronx,NYPD,New York City Police Department,bronx,2026-01-24T04:04:38.000,Closed,ONLINE
67593112,problem: heat/hot water. details: entire building. location type: residential building. borough: bronx,HPD,Department of Housing Preservation and Development,bronx,2026-01-24T04:04:00.000,Closed,MOBILE
67604093,problem: noise - residential. details: loud music/party. location type: residential building/house. borough: bronx,NYPD,New York City Police Department,bronx,2026-01-24T04:03:14.000,Closed,ONLINE
67600753,problem: noise - residential. details: banging/pounding. location type: residential building/house. borough: bronx,NYPD,New York City Police Department,bronx,2026-01-24T04:01:54.000,Closed,PHONE
67593885,problem: illegal parking. details: double parked blocking vehicle. location type: street/sidewalk. borough: manhattan,NYPD,New York City Police Department,manhattan,2026-01-24T04:01:35.000,Closed,PHONE
67594093,problem: noise - residential. details: loud music/party. location type: residential building/house. borough: manhattan,NYPD,New York City Police Department,manhattan,2026-01-24T04:01:32.000,Closed,PHONE
67602200,problem: illegal parking. details: blocked hydrant. location type: street/sidewalk. borough: bronx,NYPD,New York City Police Department,bronx,2026-01-24T04:01:27.000,Closed,MOBILE
67602261,problem: illegal parking. details: blocked sidewalk. location type: street/sidewalk. borough: brooklyn,NYPD,New York City Police Department,brooklyn,2026-01-24T03:59:56.000,Closed,ONLINE
67602517,problem: noise - residential. details: loud music/party. location type: residential building/house. borough: brooklyn,NYPD,New York City Police Department,brooklyn,2026-01-24T03:59:48.000,Closed,ONLINE
67594035,problem: noise - commercial. details: loud talking. location type: store/commercial. borough: manhattan,NYPD,New York City Police Department,manhattan,2026-01-24T03:59:36.000,Closed,MOBILE
67597550,problem: noise - vehicle. details: car/truck music. location type: street/sidewalk. borough: manhattan,NYPD,New York City Police Department,manhattan,2026-01-24T03:59:29.000,Closed,PHONE
67598437,problem: abandoned vehicle. details: with license plate. location type: street/sidewalk. borough: bronx,NYPD,New York City Police Department,bronx,2026-01-24T03:59:19.000,Closed,PHONE
67604787,problem: heat/hot water. details: entire building. location type: residential building. borough: bronx,HPD,Department of Housing Preservation and Development,bronx,2026-01-24T03:59:03.000,Closed,PHONE
